id,antecedents,consequents,antecedent_support,consequent_support,support,confidence,lift,leverage,conviction,zhangs_metric,kulczynski,imbalance_ratio,cosine,composite_score,rule_category
98,"ORGANIC POTTING SOIL 10L, WATERING CAN GREEN 2L","CERAMIC PLANT POT WHITE, GARDENING GLOVES PAIR",0.056629,0.066067,0.022472,0.396825,6.006371,0.018731,1.548362,0.883545,0.368481,0.09417,0.367389,0.6746,High-Lift Affinity Pair
99,"CERAMIC PLANT POT WHITE, GARDENING GLOVES PAIR","ORGANIC POTTING SOIL 10L, WATERING CAN GREEN 2L",0.066067,0.056629,0.022472,0.340136,6.006371,0.018731,1.429644,0.892474,0.368481,0.09417,0.367389,0.6585,High-Lift Affinity Pair
100,"REGENCY CAKESTAND 3 TIER, SET OF 3 CAKE TINS PANTRY, WHITE HANGING HEART T-LIGHT HOLDER",HEART OF WICKER SMALL,0.034607,0.10382,0.021573,0.623377,6.004385,0.01798,2.379512,0.863332,0.415584,0.592308,0.359907,0.7392,High-Confidence Cross-Sell
101,"HEART OF WICKER LARGE, HEART OF WICKER SMALL, WHITE HANGING HEART T-LIGHT HOLDER",SET OF 3 CAKE TINS PANTRY,0.034607,0.106067,0.022022,0.636364,5.999615,0.018352,2.458315,0.863195,0.421995,0.602273,0.363492,0.7433,High-Confidence Cross-Sell
102,"CERAMIC PLANT POT WHITE, ORGANIC POTTING SOIL 10L","GARDENING GLOVES PAIR, WATERING CAN GREEN 2L",0.055281,0.067865,0.022472,0.406504,5.989878,0.01872,1.570583,0.881798,0.368815,0.125,0.366884,0.6762,High-Lift Affinity Pair
103,"GARDENING GLOVES PAIR, WATERING CAN GREEN 2L","CERAMIC PLANT POT WHITE, ORGANIC POTTING SOIL 10L",0.067865,0.055281,0.022472,0.331126,5.989878,0.01872,1.412402,0.893703,0.368815,0.125,0.366884,0.6548,High-Lift Affinity Pair
104,"AGED PARMESAN REGGIANO, ITALIAN EXTRA VIRGIN OLIVE OIL","ARTISAN PASTA PENNE, GARLIC HERB BREADSTICKS",0.060674,0.065618,0.02382,0.392593,5.983004,0.019839,1.538312,0.886657,0.377803,0.048246,0.377514,0.674,High-Lift Affinity Pair
105,"ARTISAN PASTA PENNE, GARLIC HERB BREADSTICKS","AGED PARMESAN REGGIANO, ITALIAN EXTRA VIRGIN OLIVE OIL",0.065618,0.060674,0.02382,0.363014,5.983004,0.019839,1.474641,0.891348,0.377803,0.048246,0.377514,0.6656,High-Lift Affinity Pair
106,"GARDENING GLOVES PAIR, ORGANIC POTTING SOIL 10L, WATERING CAN GREEN 2L",CERAMIC PLANT POT WHITE,0.033708,0.111461,0.022472,0.666667,5.981183,0.018715,2.665618,0.86186,0.43414,0.6337,0.366618,0.7517,High-Confidence Cross-Sell
107,"HEART OF WICKER LARGE, HEART OF WICKER SMALL, REGENCY CAKESTAND 3 TIER",WHITE HANGING HEART T-LIGHT HOLDER,0.035506,0.110112,0.023371,0.658228,5.977784,0.019461,2.603745,0.863368,0.435236,0.610294,0.373772,0.7504,High-Confidence Cross-Sell
108,"HEART OF WICKER LARGE, HEART OF WICKER SMALL, WHITE HANGING HEART T-LIGHT HOLDER",REGENCY CAKESTAND 3 TIER,0.034607,0.113258,0.023371,0.675325,5.962688,0.019451,2.731164,0.862126,0.440837,0.631769,0.3733,0.7544,High-Confidence Cross-Sell
109,"HEART OF WICKER LARGE, REGENCY CAKESTAND 3 TIER, WHITE HANGING HEART T-LIGHT HOLDER",HEART OF WICKER SMALL,0.037753,0.10382,0.023371,0.619048,5.962688,0.019451,2.352472,0.864944,0.422078,0.558935,0.3733,0.7378,High-Confidence Cross-Sell
110,"AGED PARMESAN REGGIANO, GARLIC HERB BREADSTICKS","ARTISAN PASTA PENNE, ITALIAN EXTRA VIRGIN OLIVE OIL",0.058876,0.067865,0.02382,0.40458,5.961529,0.019825,1.565508,0.884324,0.377787,0.087336,0.376835,0.6759,High-Lift Affinity Pair
111,"ARTISAN PASTA PENNE, ITALIAN EXTRA VIRGIN OLIVE OIL","AGED PARMESAN REGGIANO, GARLIC HERB BREADSTICKS",0.067865,0.058876,0.02382,0.350993,5.961529,0.019825,1.450099,0.892851,0.377787,0.087336,0.376835,0.6607,High-Lift Affinity Pair
112,"ALMOND DANISH, CAPPUCCINO CUP & SAUCER, PAIN AU CHOCOLAT",BLUEBERRY SCONE,0.033708,0.107416,0.021573,0.64,5.958159,0.017952,2.479401,0.861192,0.420418,0.616541,0.358519,0.7408,High-Confidence Cross-Sell
113,"LED GROW LIGHT BULB, ORGANIC POTTING SOIL 10L, WATERING CAN GREEN 2L",GARDENING GLOVES PAIR,0.030112,0.117753,0.021124,0.701493,5.957332,0.017578,2.955528,0.857975,0.440441,0.691489,0.35474,0.7583,High-Confidence Cross-Sell
114,"ORGANIC EGGS DOZEN, STRAWBERRY PRESERVES, WHOLE WHEAT BREAD",ORGANIC WHOLE MILK,0.028315,0.10427,0.017528,0.619048,5.936987,0.014576,2.351292,0.855796,0.393576,0.660156,0.32259,0.7269,High-Confidence Cross-Sell
115,"CERAMIC COFFEE MUG, DARK CHOCOLATE BAR 85%, FRENCH VANILLA SYRUP",PURE CANE SUGAR,0.028764,0.110562,0.018876,0.65625,5.935595,0.015696,2.587457,0.856151,0.413491,0.679104,0.334728,0.7399,High-Confidence Cross-Sell
116,"ALMOND DANISH, CAPPUCCINO CUP & SAUCER, CROISSANT ALL BUTTER",BLUEBERRY SCONE,0.035955,0.107416,0.022921,0.6375,5.934885,0.019059,2.462301,0.862517,0.425445,0.593284,0.36883,0.7405,High-Confidence Cross-Sell
117,"GARDENING GLOVES PAIR, ORGANIC POTTING SOIL 10L, WATERING CAN GREEN 2L",LED GROW LIGHT BULB,0.033708,0.105618,0.021124,0.626667,5.933333,0.017563,2.395666,0.860465,0.413333,0.608365,0.354024,0.7345,High-Confidence Cross-Sell
118,"HEART OF WICKER SMALL, WHITE HANGING HEART T-LIGHT HOLDER","HEART OF WICKER LARGE, REGENCY CAKESTAND 3 TIER",0.058427,0.067416,0.023371,0.4,5.933333,0.019432,1.554307,0.883055,0.373333,0.087719,0.37238,0.6719,High-Lift Affinity Pair
119,"HEART OF WICKER LARGE, REGENCY CAKESTAND 3 TIER","HEART OF WICKER SMALL, WHITE HANGING HEART T-LIGHT HOLDER",0.067416,0.058427,0.023371,0.346667,5.933333,0.019432,1.441183,0.891566,0.373333,0.087719,0.37238,0.6567,High-Lift Affinity Pair
120,"ORGANIC WHOLE MILK, SWEET CREAM BUTTER","ORGANIC EGGS DOZEN, STRAWBERRY PRESERVES",0.05618,0.057978,0.019326,0.344,5.933333,0.016069,1.43601,0.880952,0.338667,0.018957,0.338625,0.6492,High-Lift Affinity Pair
121,"ORGANIC EGGS DOZEN, STRAWBERRY PRESERVES","ORGANIC WHOLE MILK, SWEET CREAM BUTTER",0.057978,0.05618,0.019326,0.333333,5.933333,0.016069,1.41573,0.882634,0.338667,0.018957,0.338625,0.6461,High-Lift Affinity Pair
122,"CERAMIC PLANT POT WHITE, GARDENING GLOVES PAIR, WATERING CAN GREEN 2L",ORGANIC POTTING SOIL 10L,0.037303,0.101573,0.022472,0.60241,5.930803,0.018683,2.25968,0.863604,0.411824,0.552124,0.36507,0.7292,High-Confidence Cross-Sell
123,"GARDENING GLOVES PAIR, ORGANIC POTTING SOIL 10L","LED GROW LIGHT BULB, WATERING CAN GREEN 2L",0.058876,0.060674,0.021124,0.358779,5.913203,0.017551,1.464901,0.882867,0.353463,0.018265,0.353423,0.655,High-Lift Affinity Pair
124,"LED GROW LIGHT BULB, WATERING CAN GREEN 2L","GARDENING GLOVES PAIR, ORGANIC POTTING SOIL 10L",0.060674,0.058876,0.021124,0.348148,5.913203,0.017551,1.443769,0.884557,0.353463,0.018265,0.353423,0.652,High-Lift Affinity Pair
125,"HEART OF WICKER SMALL, REGENCY CAKESTAND 3 TIER","SET OF 3 CAKE TINS PANTRY, WHITE HANGING HEART T-LIGHT HOLDER",0.060225,0.060674,0.021573,0.358209,5.903814,0.017919,1.463601,0.883847,0.356882,0.004525,0.35688,0.6549,High-Lift Affinity Pair
126,"SET OF 3 CAKE TINS PANTRY, WHITE HANGING HEART T-LIGHT HOLDER","HEART OF WICKER SMALL, REGENCY CAKESTAND 3 TIER",0.060674,0.060225,0.021573,0.355556,5.903814,0.017919,1.458272,0.88427,0.356882,0.004525,0.35688,0.6542,High-Lift Affinity Pair
127,"ARTISAN PASTA PENNE, GARLIC HERB BREADSTICKS, ITALIAN EXTRA VIRGIN OLIVE OIL",AGED PARMESAN REGGIANO,0.039551,0.102022,0.02382,0.602273,5.903334,0.019785,2.257772,0.864808,0.417876,0.530534,0.374992,0.7294,High-Confidence Cross-Sell
128,"CERAMIC PLANT POT WHITE, ORGANIC POTTING SOIL 10L, WATERING CAN GREEN 2L",GARDENING GLOVES PAIR,0.03236,0.117753,0.022472,0.694444,5.897477,0.018661,2.887354,0.858207,0.442642,0.669014,0.364043,0.7541,High-Confidence Cross-Sell
129,"AGED PARMESAN REGGIANO, ARTISAN PASTA PENNE, GARLIC HERB BREADSTICKS",ORGANIC TOMATO BASIL SAUCE,0.035506,0.109663,0.022921,0.64557,5.886854,0.019028,2.512022,0.860689,0.427293,0.606618,0.367334,0.7396,High-Confidence Cross-Sell
130,"HEART OF WICKER SMALL, SET OF 3 CAKE TINS PANTRY","REGENCY CAKESTAND 3 TIER, WHITE HANGING HEART T-LIGHT HOLDER",0.057528,0.06382,0.021573,0.375,5.87588,0.017902,1.497888,0.880464,0.356514,0.063063,0.356034,0.6577,High-Lift Affinity Pair
131,"REGENCY CAKESTAND 3 TIER, WHITE HANGING HEART T-LIGHT HOLDER","HEART OF WICKER SMALL, SET OF 3 CAKE TINS PANTRY",0.06382,0.057528,0.021573,0.338028,5.87588,0.017902,1.423734,0.886382,0.356514,0.063063,0.356034,0.6472,High-Lift Affinity Pair
132,"HEART OF WICKER LARGE, SET OF 3 CAKE TINS PANTRY","HEART OF WICKER SMALL, REGENCY CAKESTAND 3 TIER",0.059775,0.060225,0.021124,0.353383,5.867748,0.017524,1.453373,0.882318,0.352065,0.004545,0.352062,0.6503,High-Lift Affinity Pair
133,"HEART OF WICKER SMALL, REGENCY CAKESTAND 3 TIER","HEART OF WICKER LARGE, SET OF 3 CAKE TINS PANTRY",0.060225,0.059775,0.021124,0.350746,5.867748,0.017524,1.448162,0.88274,0.352065,0.004545,0.352062,0.6495,High-Lift Affinity Pair
134,"LARGE DESK PAD BLACK, WIRELESS ERGONOMIC MOUSE","MECHANICAL KEYBOARD, MONITOR LIGHT BAR",0.050787,0.058876,0.017528,0.345133,5.861987,0.014538,1.437121,0.873786,0.321421,0.087805,0.320546,0.6415,High-Lift Affinity Pair
135,"LARGE DESK PAD BLACK, MECHANICAL KEYBOARD, WIRELESS ERGONOMIC MOUSE",MONITOR LIGHT BAR,0.027416,0.109213,0.017528,0.639344,5.854078,0.014534,2.469908,0.852552,0.399919,0.686792,0.320329,0.7271,High-Confidence Cross-Sell
136,"BLUEBERRY SCONE, CROISSANT ALL BUTTER","ALMOND DANISH, PAIN AU CHOCOLAT",0.059326,0.064719,0.022472,0.378788,5.852799,0.018632,1.505574,0.881433,0.363005,0.053097,0.362662,0.6587,High-Lift Affinity Pair
137,"ALMOND DANISH, PAIN AU CHOCOLAT","BLUEBERRY SCONE, CROISSANT ALL BUTTER",0.064719,0.059326,0.022472,0.347222,5.852799,0.018632,1.441033,0.886516,0.363005,0.053097,0.362662,0.6497,High-Lift Affinity Pair
138,"MECHANICAL KEYBOARD, MONITOR LIGHT BAR, WIRELESS ERGONOMIC MOUSE",USB-C MULTIPORT ADAPTER,0.031011,0.101573,0.018427,0.594203,5.850006,0.015277,2.213981,0.855593,0.387809,0.61811,0.328326,0.7148,High-Lift Affinity Pair
139,"HEART OF WICKER LARGE, HEART OF WICKER SMALL, SET OF 3 CAKE TINS PANTRY",REGENCY CAKESTAND 3 TIER,0.03191,0.113258,0.021124,0.661972,5.844791,0.01751,2.623277,0.85623,0.42424,0.655797,0.351373,0.7387,High-Confidence Cross-Sell
140,"CERAMIC PLANT POT WHITE, WATERING CAN GREEN 2L",LED GROW LIGHT BULB,0.063371,0.105618,0.039101,0.617021,5.84201,0.032408,2.335331,0.884903,0.493617,0.32526,0.477943,0.7532,High-Confidence Cross-Sell
141,LED GROW LIGHT BULB,"CERAMIC PLANT POT WHITE, WATERING CAN GREEN 2L",0.105618,0.063371,0.039101,0.370213,5.84201,0.032408,1.487215,0.926702,0.493617,0.32526,0.477943,0.6833,High-Lift Affinity Pair
142,"MECHANICAL KEYBOARD, USB-C MULTIPORT ADAPTER, WIRELESS ERGONOMIC MOUSE",LARGE DESK PAD BLACK,0.03191,0.101573,0.018876,0.591549,5.823881,0.015635,2.199597,0.855595,0.388695,0.607843,0.331563,0.7129,High-Lift Affinity Pair
143,"ALMOND DANISH, BLUEBERRY SCONE, CROISSANT ALL BUTTER",CAPPUCCINO CUP & SAUCER,0.033708,0.116854,0.022921,0.68,5.819231,0.018982,2.759831,0.857045,0.438077,0.651408,0.365219,0.745,High-Confidence Cross-Sell
144,"LARGE DESK PAD BLACK, MECHANICAL KEYBOARD, USB-C MULTIPORT ADAPTER",MONITOR LIGHT BAR,0.033258,0.109213,0.021124,0.635135,5.815538,0.017491,2.441415,0.856534,0.414275,0.625926,0.350493,0.7287,High-Confidence Cross-Sell
145,"LARGE DESK PAD BLACK, WIRELESS ERGONOMIC MOUSE","MONITOR LIGHT BAR, USB-C MULTIPORT ADAPTER",0.050787,0.057978,0.017079,0.336283,5.800233,0.014134,1.419314,0.871873,0.315428,0.078431,0.314738,0.6339,High-Lift Affinity Pair
146,"ORGANIC EGGS DOZEN, ORGANIC WHOLE MILK","STRAWBERRY PRESERVES, SWEET CREAM BUTTER",0.057528,0.057978,0.019326,0.335937,5.794271,0.015991,1.418575,0.877921,0.334635,0.004673,0.334633,0.6371,High-Lift Affinity Pair
147,"STRAWBERRY PRESERVES, SWEET CREAM BUTTER","ORGANIC EGGS DOZEN, ORGANIC WHOLE MILK",0.057978,0.057528,0.019326,0.333333,5.794271,0.015991,1.413708,0.87834,0.334635,0.004673,0.334633,0.6364,High-Lift Affinity Pair
148,"GARLIC HERB BREADSTICKS, ORGANIC TOMATO BASIL SAUCE","AGED PARMESAN REGGIANO, ARTISAN PASTA PENNE",0.062472,0.063371,0.022921,0.366906,5.789836,0.018962,1.479448,0.882409,0.364304,0.008734,0.364295,0.6516,High-Lift Affinity Pair
149,"AGED PARMESAN REGGIANO, ARTISAN PASTA PENNE","GARLIC HERB BREADSTICKS, ORGANIC TOMATO BASIL SAUCE",0.063371,0.062472,0.022921,0.361702,5.789836,0.018962,1.468794,0.883256,0.364304,0.008734,0.364295,0.6502,High-Lift Affinity Pair
150,"AGED PARMESAN REGGIANO, ARTISAN PASTA PENNE, GARLIC HERB BREADSTICKS",ITALIAN EXTRA VIRGIN OLIVE OIL,0.035506,0.115955,0.02382,0.670886,5.785742,0.019703,2.686137,0.857611,0.438156,0.630282,0.371238,0.7413,High-Confidence Cross-Sell
151,"LED GROW LIGHT BULB, WATERING CAN GREEN 2L",CERAMIC PLANT POT WHITE,0.060674,0.111461,0.039101,0.644444,5.78181,0.032338,2.499017,0.880465,0.497625,0.381757,0.475474,0.757,High-Confidence Cross-Sell
152,CERAMIC PLANT POT WHITE,"LED GROW LIGHT BULB, WATERING CAN GREEN 2L",0.111461,0.060674,0.039101,0.350806,5.78181,0.032338,1.446912,0.93079,0.497625,0.381757,0.475474,0.6739,High-Lift Affinity Pair
153,"CERAMIC PLANT POT WHITE, LED GROW LIGHT BULB, WATERING CAN GREEN 2L",ORGANIC POTTING SOIL 10L,0.039101,0.101573,0.022921,0.586207,5.771285,0.01895,2.171199,0.86037,0.405935,0.530534,0.363711,0.714,High-Lift Affinity Pair
154,"LED GROW LIGHT BULB, ORGANIC POTTING SOIL 10L","GARDENING GLOVES PAIR, WATERING CAN GREEN 2L",0.053933,0.067865,0.021124,0.391667,5.771247,0.017463,1.532276,0.873857,0.351462,0.138393,0.349155,0.6544,High-Lift Affinity Pair
155,"GARDENING GLOVES PAIR, WATERING CAN GREEN 2L","LED GROW LIGHT BULB, ORGANIC POTTING SOIL 10L",0.067865,0.053933,0.021124,0.311258,5.771247,0.017463,1.373617,0.886918,0.351462,0.138393,0.349155,0.6316,High-Lift Affinity Pair
156,"ARTISAN PASTA PENNE, ITALIAN EXTRA VIRGIN OLIVE OIL, ORGANIC TOMATO BASIL SAUCE",GARLIC HERB BREADSTICKS,0.040449,0.113708,0.026517,0.655556,5.765261,0.021917,2.573106,0.86139,0.444379,0.573944,0.390994,0.7395,High-Confidence Cross-Sell
157,"ALMOND DANISH, BLUEBERRY SCONE","CAPPUCCINO CUP & SAUCER, PAIN AU CHOCOLAT",0.057079,0.065618,0.021573,0.377953,5.759896,0.017828,1.502108,0.87641,0.35336,0.084444,0.352503,0.6504,High-Lift Affinity Pair
158,"CAPPUCCINO CUP & SAUCER, PAIN AU CHOCOLAT","ALMOND DANISH, BLUEBERRY SCONE",0.065618,0.057079,0.021573,0.328767,5.759896,0.017828,1.40476,0.88442,0.35336,0.084444,0.352503,0.6365,High-Lift Affinity Pair
159,"LARGE DESK PAD BLACK, MECHANICAL KEYBOARD",USB-C MULTIPORT ADAPTER,0.057079,0.101573,0.033258,0.582677,5.736534,0.027461,2.152834,0.87566,0.455055,0.354839,0.436793,0.7267,High-Lift Affinity Pair
160,USB-C MULTIPORT ADAPTER,"LARGE DESK PAD BLACK, MECHANICAL KEYBOARD",0.101573,0.057079,0.033258,0.327434,5.736534,0.027461,1.401975,0.919027,0.455055,0.354839,0.436793,0.6544,High-Lift Affinity Pair
161,"MONITOR LIGHT BAR, USB-C MULTIPORT ADAPTER, WIRELESS ERGONOMIC MOUSE",MECHANICAL KEYBOARD,0.030562,0.105169,0.018427,0.602941,5.733095,0.015213,2.25365,0.851601,0.389077,0.636015,0.325029,0.7092,High-Confidence Cross-Sell
162,"HEART OF WICKER SMALL, SET OF 3 CAKE TINS PANTRY, WHITE HANGING HEART T-LIGHT HOLDER",REGENCY CAKESTAND 3 TIER,0.033258,0.113258,0.021573,0.648649,5.727156,0.017806,2.523803,0.853789,0.419562,0.640288,0.3515,0.7272,High-Confidence Cross-Sell
163,"LARGE DESK PAD BLACK, USB-C MULTIPORT ADAPTER",MECHANICAL KEYBOARD,0.055281,0.105169,0.033258,0.601626,5.720589,0.027445,2.24621,0.87348,0.458933,0.392226,0.436186,0.7311,High-Confidence Cross-Sell
164,MECHANICAL KEYBOARD,"LARGE DESK PAD BLACK, USB-C MULTIPORT ADAPTER",0.105169,0.055281,0.033258,0.316239,5.720589,0.027445,1.381652,0.922177,0.458933,0.392226,0.436186,0.6503,High-Lift Affinity Pair
165,"ARTISAN PASTA PENNE, GARLIC HERB BREADSTICKS, ORGANIC TOMATO BASIL SAUCE",ITALIAN EXTRA VIRGIN OLIVE OIL,0.04,0.115955,0.026517,0.662921,5.717054,0.021879,2.622667,0.859463,0.445802,0.586806,0.389356,0.7383,High-Confidence Cross-Sell
166,"GARDENING GLOVES PAIR, LED GROW LIGHT BULB, WATERING CAN GREEN 2L",ORGANIC POTTING SOIL 10L,0.036404,0.101573,0.021124,0.580247,5.712608,0.017426,2.14037,0.856115,0.394106,0.557692,0.347377,0.7053,High-Lift Affinity Pair
167,"ORGANIC WHOLE MILK, STRAWBERRY PRESERVES, SWEET CREAM BUTTER",ORGANIC EGGS DOZEN,0.030112,0.11236,0.019326,0.641791,5.71194,0.015942,2.477996,0.85054,0.406896,0.667883,0.332247,0.7206,High-Confidence Cross-Sell
168,"USB-C MULTIPORT ADAPTER, WIRELESS ERGONOMIC MOUSE","MECHANICAL KEYBOARD, MONITOR LIGHT BAR",0.054831,0.058876,0.018427,0.336066,5.707984,0.015199,1.417495,0.872656,0.324521,0.042453,0.324316,0.6296,High-Lift Affinity Pair
169,"MECHANICAL KEYBOARD, MONITOR LIGHT BAR","USB-C MULTIPORT ADAPTER, WIRELESS ERGONOMIC MOUSE",0.058876,0.054831,0.018427,0.312977,5.707984,0.015199,1.375745,0.876406,0.324521,0.042453,0.324316,0.623,High-Lift Affinity Pair
170,"AGED PARMESAN REGGIANO, ARTISAN PASTA PENNE","ITALIAN EXTRA VIRGIN OLIVE OIL, ORGANIC TOMATO BASIL SAUCE",0.063371,0.063371,0.022921,0.361702,5.707711,0.018905,1.467386,0.880603,0.361702,0.0,0.361702,0.6444,High-Lift Affinity Pair
171,"ITALIAN EXTRA VIRGIN OLIVE OIL, ORGANIC TOMATO BASIL SAUCE","AGED PARMESAN REGGIANO, ARTISAN PASTA PENNE",0.063371,0.063371,0.022921,0.361702,5.707711,0.018905,1.467386,0.880603,0.361702,0.0,0.361702,0.6444,High-Lift Affinity Pair
172,"BLUEBERRY SCONE, CROISSANT ALL BUTTER, PAIN AU CHOCOLAT",ALMOND DANISH,0.034157,0.115506,0.022472,0.657895,5.695781,0.018527,2.585445,0.853588,0.426224,0.639576,0.357764,0.7291,High-Confidence Cross-Sell
173,"MECHANICAL KEYBOARD, USB-C MULTIPORT ADAPTER",LARGE DESK PAD BLACK,0.057528,0.101573,0.033258,0.578125,5.691717,0.027415,2.129605,0.874621,0.452779,0.35,0.435083,0.7222,High-Lift Affinity Pair
174,LARGE DESK PAD BLACK,"MECHANICAL KEYBOARD, USB-C MULTIPORT ADAPTER",0.101573,0.057528,0.033258,0.327434,5.691717,0.027415,1.401307,0.917499,0.452779,0.35,0.435083,0.6513,High-Lift Affinity Pair
175,"REGENCY CAKESTAND 3 TIER, SET OF 3 CAKE TINS PANTRY, WHITE HANGING HEART T-LIGHT HOLDER",HEART OF WICKER LARGE,0.034607,0.107416,0.021124,0.61039,5.682497,0.017406,2.290966,0.85356,0.403521,0.60223,0.34646,0.7121,High-Confidence Cross-Sell
176,"AGED PARMESAN REGGIANO, ARTISAN PASTA PENNE, ORGANIC TOMATO BASIL SAUCE",GARLIC HERB BREADSTICKS,0.035506,0.113708,0.022921,0.64557,5.67744,0.018884,2.50061,0.854193,0.423575,0.619217,0.360742,0.7249,High-Confidence Cross-Sell
177,"COLOMBIAN ROAST COFFEE, FRENCH VANILLA SYRUP, PURE CANE SUGAR",CERAMIC COFFEE MUG,0.035506,0.107416,0.021573,0.607595,5.65648,0.017759,2.27465,0.853516,0.404216,0.592593,0.349324,0.7101,High-Confidence Cross-Sell
178,"REGENCY CAKESTAND 3 TIER, SET OF 3 CAKE TINS PANTRY",HEART OF WICKER LARGE,0.060674,0.107416,0.036854,0.607407,5.654734,0.030337,2.273564,0.876327,0.475252,0.356164,0.456508,0.7337,High-Confidence Cross-Sell
179,HEART OF WICKER LARGE,"REGENCY CAKESTAND 3 TIER, SET OF 3 CAKE TINS PANTRY",0.107416,0.060674,0.036854,0.343096,5.654734,0.030337,1.429929,0.922218,0.475252,0.356164,0.456508,0.659,High-Lift Affinity Pair
180,"CERAMIC COFFEE MUG, COLOMBIAN ROAST COFFEE","FRENCH VANILLA SYRUP, PURE CANE SUGAR",0.060674,0.062921,0.021573,0.355556,5.650794,0.017755,1.454088,0.876196,0.349206,0.022026,0.349149,0.6364,High-Lift Affinity Pair
181,"FRENCH VANILLA SYRUP, PURE CANE SUGAR","CERAMIC COFFEE MUG, COLOMBIAN ROAST COFFEE",0.062921,0.060674,0.021573,0.342857,5.650794,0.017755,1.429409,0.878297,0.349206,0.022026,0.349149,0.6328,High-Lift Affinity Pair
182,"ORGANIC EGGS DOZEN, STRAWBERRY PRESERVES, SWEET CREAM BUTTER",ORGANIC WHOLE MILK,0.032809,0.10427,0.019326,0.589041,5.649209,0.015905,2.17961,0.850901,0.387193,0.60687,0.330417,0.7006,High-Lift Affinity Pair
183,"AGED PARMESAN REGGIANO, GARLIC HERB BREADSTICKS, ITALIAN EXTRA VIRGIN OLIVE OIL",ARTISAN PASTA PENNE,0.035955,0.117303,0.02382,0.6625,5.647749,0.019603,2.615397,0.853631,0.432783,0.628472,0.366784,0.7292,High-Confidence Cross-Sell
184,"CERAMIC PLANT POT WHITE, LED GROW LIGHT BULB",WATERING CAN GREEN 2L,0.060674,0.114157,0.039101,0.644444,5.645232,0.032175,2.491433,0.876011,0.493482,0.39404,0.469824,0.7474,High-Confidence Cross-Sell
185,WATERING CAN GREEN 2L,"CERAMIC PLANT POT WHITE, LED GROW LIGHT BULB",0.114157,0.060674,0.039101,0.34252,5.645232,0.032175,1.428675,0.9289,0.493482,0.39404,0.469824,0.6621,High-Lift Affinity Pair
186,"GARDENING GLOVES PAIR, LED GROW LIGHT BULB, ORGANIC POTTING SOIL 10L",WATERING CAN GREEN 2L,0.032809,0.114157,0.021124,0.643836,5.639899,0.017378,2.487174,0.850599,0.414437,0.646429,0.345159,0.719,High-Confidence Cross-Sell
187,"ALMOND DANISH, BLUEBERRY SCONE, CAPPUCCINO CUP & SAUCER",CROISSANT ALL BUTTER,0.033708,0.120899,0.022921,0.68,5.624535,0.018846,2.747191,0.850889,0.434796,0.662116,0.359057,0.7313,High-Confidence Cross-Sell
188,"ARTISAN PASTA PENNE, GARLIC HERB BREADSTICKS, ORGANIC TOMATO BASIL SAUCE",AGED PARMESAN REGGIANO,0.04,0.102022,0.022921,0.573034,5.61674,0.01884,2.103158,0.856209,0.398852,0.520755,0.358808,0.6993,High-Lift Affinity Pair
189,"CERAMIC PLANT POT WHITE, GARDENING GLOVES PAIR, ORGANIC POTTING SOIL 10L",WATERING CAN GREEN 2L,0.035056,0.114157,0.022472,0.641026,5.615284,0.01847,2.467705,0.851775,0.418938,0.624113,0.355227,0.7185,High-Confidence Cross-Sell
190,"MECHANICAL KEYBOARD, WIRELESS ERGONOMIC MOUSE","MONITOR LIGHT BAR, USB-C MULTIPORT ADAPTER",0.056629,0.057978,0.018427,0.325397,5.612465,0.015144,1.39641,0.871158,0.321613,0.014019,0.321591,0.6198,High-Lift Affinity Pair
191,"MONITOR LIGHT BAR, USB-C MULTIPORT ADAPTER","MECHANICAL KEYBOARD, WIRELESS ERGONOMIC MOUSE",0.057978,0.056629,0.018427,0.317829,5.612465,0.015144,1.382896,0.872405,0.321613,0.014019,0.321591,0.6177,High-Lift Affinity Pair
192,"LARGE DESK PAD BLACK, USB-C MULTIPORT ADAPTER, WIRELESS ERGONOMIC MOUSE",MONITOR LIGHT BAR,0.027865,0.109213,0.017079,0.612903,5.611974,0.014035,2.301199,0.845366,0.384641,0.677903,0.309588,0.7016,High-Confidence Cross-Sell
193,"HEART OF WICKER LARGE, HEART OF WICKER SMALL, REGENCY CAKESTAND 3 TIER",SET OF 3 CAKE TINS PANTRY,0.035506,0.106067,0.021124,0.594937,5.609043,0.017358,2.206896,0.851966,0.397045,0.585821,0.344214,0.7024,High-Lift Affinity Pair
194,"HEART OF WICKER LARGE, HEART OF WICKER SMALL",WHITE HANGING HEART T-LIGHT HOLDER,0.05618,0.110112,0.034607,0.616,5.594286,0.028421,2.317416,0.87013,0.465143,0.409556,0.44,0.7285,High-Confidence Cross-Sell
195,WHITE HANGING HEART T-LIGHT HOLDER,"HEART OF WICKER LARGE, HEART OF WICKER SMALL",0.110112,0.05618,0.034607,0.314286,5.594286,0.028421,1.376404,0.922865,0.465143,0.409556,0.44,0.6432,High-Lift Affinity Pair
196,"AGED PARMESAN REGGIANO, GARLIC HERB BREADSTICKS","ARTISAN PASTA PENNE, ORGANIC TOMATO BASIL SAUCE",0.058876,0.069663,0.022921,0.389313,5.588525,0.01882,1.523427,0.872427,0.359173,0.102128,0.357906,0.6439,High-Lift Affinity Pair
